Knowledge Nexus, Neel Shrivastav, Oindrella Roy, Shivam Sahay, NIT Rourkela
Cognition Crew, Aryan Mehta, Tanya Nair, Rishabh Dutta, IIT Bombay
Scholarly Syndicate, Sneha Kapoor, Harshit Agarwal, Meenal Singh, BITS Pilani
Team Eureka, Kavya Nambiar, Pranav Raj, Ayaan Khan, VIT Vellore
LogiChamps, Anika Sharma, Sahil Bhatt, Vedant Iyer, NIT Trichy
Byte Busters, Shruti Jain, Kunal Tiwari, Aditi Das, IIIT Hyderabad
Syntax Squad, Rhea Bansal, Anshul Yadav, Isha Choudhary, Delhi Technological University
Quantum Quokkas, Dhruv Menon, Simran Kaur, Rehan Hussain, SRM Institute of Science and Technology
Neural Nomads, Arnav Saha, Divya Joshi, Varun Bhatia, Manipal Institute of Technology
The Debuggers, Ishita Sinha, Tarun Sharma, Ananya Rathi, Amity University
KSA, Aarnav, Somya, Kartik, NIT Rourkela
